제품명,평균_점수,총_점수
무드 블러링 립틴트 [립프라이머],1.297123539918061,1.297123539918061
비타 에너지 클렌징 폼,1.2955662946132516,2.591132589226503
클렌징 폼,1.2951952129949598,5.180780851979839
핵산 워터밤 아쿠아 썬젤 [SPF50+/PA++++],1.2949946057863013,32.374865144657534
솔리드 젤 페디 [시그니처],1.2949612269980928,1.2949612269980928
마스터즈 수딩 아웃도어 선스프레이 [SPF50+/PA++++],1.2947362358344483,1.2947362358344483
글로이 선 무스 픽서 [SPF50+/PA++++],1.294513034630225,7.767078207781349
보타니크 베르가못 & 네롤리 멀티드라이오일,1.2943018003209137,67.30369361668751
라이트핏 벨벳 선스틱 [SPF50+/PA++++],1.2942708060157722,97.0703104511829
밀레니얼 글로우 크림 블러시,1.2942421631928342,93.18543574988406
로데오 드라이브 페이스 앤 바디 미스트,1.2942309588002714,1.2942309588002714
에키네시아 에어리 선 스틱 [SPF50+/PA++++],1.293944278142834,64.6972139071417
뉴트리 선스틱 [SPF50+/PA+++],1.293899580182875,130.68385759847038
로얄젤리 풋 크림,1.2938454473641254,65.9861178155704
프레스티지 펩타이드20 크림,1.2938381359827624,148.7913856380177
마다가스카르 센텔라 히알루 시카 워터핏 선 세럼 [SPF50+/PA++++],1.2935923720279199,90.55146604195438
메디액티브 20+ 허니멀티밤,1.293557183683138,69.85208791888945
비건 컴포트 바디 로션,1.293516417963153,142.28680597594683
리커버리 크림,1.29349265863186,6.4674632931593
훌라 제로 탠 라인 바디 브론저,1.2933876603927836,3.880162981178351
타임 에너지 브라이트 클레이 팩 클렌저,1.2933831008490995,115.11109597556985
엔젤아쿠아 보습장벽 선퀴드 [SPF50+/PA++++],1.29334732640567,102.17443878604794
낫 드라이 컨실러,1.293254445234886,80.18177560456293
비건 선 바디 미스트 [SFP40/PA+++],1.2932378315692814,2.586475663138563
에어 펜스 선 스틱 [SPF50+/PA++++],1.2932218240306235,151.30695341158295
스포츠 바디워시,1.2931883457251583,10.345506765801266
포레스트 마일드 너츠 로션,1.2931788899094139,46.554440036738896
비너스 Y존 제모기,1.2931224562280355,14.22434701850839
스텝 다운 모이스처라이징 크림,1.2930397819646127,137.06221688824894
크림,1.2930226621720708,140.93947017675572
더 히든 바디 스크럽,1.2930005325194354,94.38903887391878
포어 퓨리파잉 살리실산 포밍 클렌저,1.2929720103804665,102.14478882005685
무드 모먼트 팔레트,1.2929465212177982,28.444823466791558
시어 슈가 스크럽 [썬키스트 퍼피],1.2929304949218956,76.28289920039184
블루밍 애교살 라이너,1.2929293996420101,117.65657536742293
빅 카밍 스위밍풀 토너패드,1.2929157848349973,116.36242063514976
아임세이프 포 센서티브 스킨 [SPF35/PA+++],1.2928940894723506,69.81628083150693
시카 펩타이드 앰플 마스크,1.2928668548250284,109.89368266012741
메디슬리머 워크,1.2928537747189621,2.5857075494379242
자연이 빚은 시그니처 샴푸 바,1.2928498034167888,71.10673918792338
베이비 바스앤샴푸,1.2928417696008707,16.80694300481132
타임 레볼루션 나이트리페어 앰플밤 스틱,1.2928370718181859,59.47050530363655
강화 교동쌀 맑음 팩 폼 클렌저,1.2928295197097086,82.74108926142135
단델리온 래디언스 세럼 패드,1.2928021363784767,89.2033474101149
쿨 워터리 터치 에센스 선 밤 [SPF50+/PA++++],1.2928002608534572,159.01443208497523
에고스틱 듀얼 밤,1.2927850489073998,46.54026176066639
트루뷰티 팔레트,1.292773054621316,38.78319163863948
코어 선 스틱 [SPF50+/PA++++],1.292755939399538,121.51905830355658
멀티-액션 쉐이빙 포밍 오일,1.292744869359909,3.8782346080797274
괄사,1.2927438842644507,56.88073090763583
올 데이 에어리 선스크린 [SPF50+/PA++++],1.2927387416170422,134.4448291281724
롱웨어 스킨 핏 쿠션 [SPF50+/PA++++],1.2927257550695617,82.73444832445195
징크 마일드 업 선크림 [SPF50+/PA++++],1.2927016845791626,16.805121899529112
효비담 수분샘 수분어린 선퀴드 [SPF50+/PA++++],1.2926592512292538,65.92562181269194
슈가립스 립버터 [스트로베리],1.2926449145938772,80.14398470482038
브리더블 비비크림,1.2926261423059826,81.43544696527691
컴플리트 에센셜 씨씨크림 [SPF50+/PA++++],1.2925468925506147,6.462734462753073
아임톤업 멀티베이스 [SPF50+/PA+++],1.2925316473179491,151.22620273620004
(카카오프렌즈 컬렉션) 플레이 컬러 아이즈,1.2925087439751268,36.19024483130355
피토 시티 디펜스 선 스프레이 [SPF50+/PA++++],1.2925055913952839,11.632550322557554
하이드로 선 에센스 [SPF50+/PA++++],1.292505169104387,71.08778430074128
엑소 에이지 엠티에스 펩타이드 크림,1.2924648237028529,112.4444396621482
차가 젤리 약산성 클렌저,1.292458298696635,102.10420559703418
오버 듀 립펜슬 [매트],1.2924462025098722,131.82951265600695
라이트터치 선스틱 [SPF50+/PA++++],1.292426405215075,124.0729349006472
멀티 디펜스 UV 쉴드 톤업 [SPF50+/PA++++],1.2924237527554283,135.70449403931997
글리터 글루,1.2924231949793128,5.169692779917251
글래스라이크 립 젤리,1.2924124613475556,116.31712152128
수딩 릴리프 클렌저,1.2924121021774468,125.36397391121234
자작나무 브이핏 컴포팅 크림,1.2924111034043297,105.97771047915504
앰비언트 라이팅 팔레트,1.2924024571140573,104.68459902623864
프리미엄 비건 쓰리 인 원 선스틱 [SPF50+/PA++++],1.2924016177305968,94.34531809433356
컬러 튜닝 UV [SPF50+/PA++++],1.2923987543595812,28.432772595910784
에어리 노세범 선스틱 [SPF50+/PA++++],1.2923972373570265,102.09938175120509
비건 페이스 올 팔레트,1.292384168872843,68.49636095026068
익모초 허브 릴리프 올인원 바,1.2923690371216412,103.3895229697313
LED/UV 파워 젤램프,1.2923339850552378,6.461669925276189
엠케어 클렌징 폼,1.2923324494878676,2.5846648989757353
멜론 톤업 선 크림 [SPF50+/PA+++],1.2923213348187652,93.0471361069511
폴리컬 봉고데기 핑크,1.2923176214560423,80.12369253027462
에센셜 롤온 [바질 스퀘어],1.2923160886414746,7.753896531848848
새싹 씨씨크림 [SPF30/PA+++],1.2923105156844308,6.461552578422154
엑스퍼트 컬러 언더아이 프라이머,1.2922993187562244,87.87635367542326
안티옥시던트 글로우 토닝 패드,1.2922962097478274,109.84517782856533
아이보들 씨씨피 크림,1.2922795088297132,143.44302548009816
베이비 앤 키즈 마일드 로션,1.292275491606581,67.19832556354221
올 어바웃 더 블러 블러링 앤 스무딩 프라이머,1.2922725209641261,73.65953369495519
타르티스트™ 프로 글로우 투 고 팔레트,1.2922618505326038,6.461309252663019
이너밸런싱 페미닌 티슈,1.2922408550593054,89.16461899909207
퍼펙트 UV 젤 N [SPF50+/PA++++],1.292227147173741,11.630044324563668
리커버리 머드 팩투폼 클렌저,1.292215812397911,90.45510686785377
베이직 아쿠아 올인원,1.292201834428284,126.63577977397183
소어 조인트 럽,1.2921700160051874,2.584340032010375
에센셜 부스터,1.2921655455855174,25.843310911710347
브이 리프팅 롤러 크림,1.292163543102227,107.24957407748484
(디퓨즈드 로즈 에디션) 앰비언트 팔레트,1.2921406365339327,6.460703182669664
스팀 아이마스크 [로즈향],1.292101085709853,11.628909771388676
볼류마이징 립 퐁듀,1.2920959152388947,111.12024871054494
