,0,1,2,3,4,5,6
0,리얼 히알루로닉 100 토너,큐피드,21세,복합성,여,5,웰라쥬 앰플이 유명해서 앰플 사용하다가 토너도 같이 사용해봤는데 역시나 너무 좋았습니다ㅠㅠ 가벼운데 쫀쫀하고 탱글하게 수분 잡아줘서 너무 만족합니당 성분도 착하고 인기가 많은 이유를 알겠어욥
1,리얼 히알루로닉 100 토너,꿀품은고구마,31세,건성,여,5,여름철만 되면 붉게 달아오르는 피부에 어떻게하면 속건조도 잡고 붉은끼도 진정시킬수있을까 하다가 이 아이가 히알루론산이 많고 순하다 해서 구매했는데 역시가 역시네요~! 되게 촉촉한물타입인데 한번바르고 마를때쯤 덧바르면 피부가 어느새 진정되고 촉촉해져있어요 200ml양에 2만원도안하니 가성비최고인거같아요 레이저 시술자주받거나 쉽게 건조해지는 피부 가지신분들 한번 사용해보세요
2,리얼 히알루로닉 100 토너,캔디크러쉬,17세,지성,여,5,되게 촉촉하고 수분감이 장난 아닙니다 그래서 화장할 때 잘 쓰고 있어요 그리고 바르고 나서도 피부 땡김 현상이나 따갑지도 않아서 무난하게 쓰기 좋습니다
3,리얼 히알루로닉 100 토너,글로리#8UCr6C,32세,민감성,여,4,라이트한 사용감이지만 보습력이 있어서 여름에 건조한 피부가 쓰기 좋고 부담감이 없어서 여러번 레이어링해서 발라주기도 좋습니다.
4,리얼 히알루로닉 100 토너,글로리#fV2oGH,18세,건성,여,5,수분이 꽉 꽉 채워지는 느낌!! 다들 쓰세여 겨울에 무조건!!! 건조한 피부는 무조건 쓰세여!!
5,리얼 히알루로닉 100 토너,둠둠바,20세,건성,여,5,무난한 토너예요. 닥토로 쓰기에도 괜찮고 흡토로 쓰기에도 괜찮아요. 3번 정도 발라주면 피부가 촉촉해져요. 근데 정말 무난해서 가격대비 양을 생각하면 꼭 이 토너여야만 하는 이유는 없어요. 
6,리얼 히알루로닉 100 토너,yakk,29세,복합성,여,4,물 제형의 수분토너 무난한데 수분이 꽉 충전되는 느낌까진 모르겠어요
7,리얼 히알루로닉 100 토너,코은,31세,복합성,여,5,"데일리로 잘 쓰고있는 토너!!! 닦토로 쓰기 완전 좋아요!! 향은 무향인거같은데 제형,향 뭐 하나 거슬리는거 없이 잘쓰고있습니다!"
8,리얼 히알루로닉 100 토너,요미s2,26세,건성,여,5,"💙 웰라쥬는 제가 앰플을 진짜 좋아하고 거의 6통 넘게 수분앰플로 쓰고있던 브랜드인데, 토너랑 크림도 같이 있더라구요! 크림은 아직 쓰고있는게 너무 많아서 토너만 구매하기로 했었어요!!  💙 한달 사용 후기💙 일단 웰라쥬 답게 수분공급을 진짜 잘해주더라구요! 이게 겉 보습만 챙겨주는게 아니라 속보습을 탄탄히 잡아줘서 속건조 심한분들이 사용하기에 좋았던것 같아요👍🏻👍🏻 수분감이 되게 많은데 마무리감은 산뜻하거든요!! 미끄러움이나 그런거 없이 깔끔해서 좋았아요!! 저는 마무리감이 너무 미끌하거나 유분감이 심하면 잘때 너무 거슬려서 ㅠㅠ 근데 이 제품은 진짜 마무리감이 너무 좋아요!!👍🏻👍🏻 화장전 토너로 완전 추천이에요!! 화장전에 스킨을 화장솜에 뭍혀서 올려놔주고 결정리 하고 흡수하면 피부화장이 되게 잘 먹더라구요!!👍🏻  💙 추천피부 : 건성(약한) , 수부지, 복합성 , 속건조 피부!!  💙 총평 : 수분토너중에 이 만한 조건을 가진 토너를 아직 발견하지 못했던것같아요!! 진짜 너무 기본적"
9,리얼 히알루로닉 100 토너,두하다,28세,건성,여,5,물토너와 점성있는 토너의 중간쯤으로 처음 수분채워서 피부를 촉촉하게 해줘요! 극건성이라 여름엔 땀쟁이로 더 건조해지는 편인데 속건조가 딱 잡혔어요!
