review_idx,cos_name,user_nm,rating,preprocessed_review,star
0,원더 세라마이드 모찌 토너,두치봉구,5,완전 성비 최고 용량 토너 예 가격 엄청 용량 어 마무 시 스킨 팩 아낌없이 쓰 너무 좋 성분 크 나쁘 없 같 모찌 토너 이름 워터 형 아주 수분 감 없 이예 좀 가격 있 워터 토너 스킨 팩 막 쓰 아깝 제품 가격 너무 신경 쓰 막 쓰 좋,
1,원더 세라마이드 모찌 토너,리뷰쓰는핑핑이,5,예전 패드 어 어 어 무 만족 쓰 기억 떠오르 구매 보 토너 아니 근데 가격 실화 넘 좋 용량 크 작 용량 증정 심지어 완전 샘플 사이즈 통 와우 게다가 물 토너 쓰 쓰 영양 공급 제대로 되 느낌 들 넘 나리 만족 쓰 있 굳 굳 굳 그리 겨 에센스 따로 안 발라 되 같 느낌 체력 정신 여유 되 바르 크림 바르 마무리 있 기초 화장품 줄이 토너 추천,
2,원더 세라마이드 모찌 토너,베리베리피치,5,민 바르 화장 좋 기존 토너 에 멀 지 느낌 지성 바르 여름 화장 좋 같 향 여자 냄새 획,
3,원더 세라마이드 모찌 토너,냐람지,5,벌써 병 구매 이제 없 안 되 지성인 계절 모두 사용 레이어 링 피부 수분 감 차 게 느끼 스킨 스킨 팩 정말 애용 있 공병 담 여행가 하나로 어떻 단계 활용 정도 데일리 아낌없이 사용 용량 제품 바닥 긁 쓰기 좋 병 타입 가성 비도 최고 향 로럴 향 느끼 쓰 보 향 제품 아쉽 정도 향 좋 끈적이 없이 쪼 득 마무리 감 하지만 건성 토너 레이어 링 후 보습 장벽 크림 덧바르 마무리 좋 같 트러블 피부 즐기 다소 수분 감 오버 각질 덜 닦이 느낌 들,
4,원더 세라마이드 모찌 토너,헤헤헷잉,5,성비 갑 양 제품력 좋 흡수 보습력 오 따 향도 좋 요 토너 팩 좋 대용량 이미 비우,
5,원더 세라마이드 모찌 토너,n.joy_kim,5,정말 놀랍 제품 작년 사용 정말 건조 피부 만들 제품,
6,원더 세라마이드 모찌 토너,복숭아새싹평가단,5,좋 좋 극찬 하 속 치 구매 근데 요물 가격 대비 짱 좋 얇 레이어 드 해서 바르 속 건조 꽤 잘 잡 세안 후 단계 사용 에센스 같 점성 있 형 사용 대신 레이어 드 해서 바르 더 좋 하나로 속 건조 잘 잡아줘 다음 기능 제품 레티놀 순서 바르 피부 마르 느낌 적 그래서 자주 손 가 구매 의사 있 짐승 용량 이정 기능 구매 안 하 더 손해,
7,원더 세라마이드 모찌 토너,뚜껑아,5,성비 좋 한텐 살짝 따갑 붉어지 트러블 생기 좋 여름 발라 굿,
8,원더 세라마이드 모찌 토너,글로리#fQcQNA,5,피부 타입 성민 감성 결론 성비 최고 물 토너 콧물 토너 중간 보 되 그래서 너무 건조 너무 사용 지성 콧물 토너 물 토너 사용 금새 줄어들 금방 건조 레이어 링 가끔 귀찮 때 있 그래서 구매 되 용량 깡패 성비 최고 같 형 살짝 유 분기 있 흡수 지성 피부 잘 유지 솜 적시 스킨 팩 사용 있 피부 상태 따르 처음 짧 하 추천 드리 길 뾰루지 나서 잠깐 붙이 닦 영양 필요 날 하 좋,
9,원더 세라마이드 모찌 토너,낑주은,5,라마 이드 성분 보습 영양 도와주 히알루론산 테노 함유 부케 어 도와주 병풀 추출물 피부 진정 어르 돕 화장 솜 토너 듬뿍 적시 달아오르 피부 스킨 팩 사용 좋,
